empresa,Nombre,status,partind,naics1,naics2,SectorEconomatica
EGHT,8x8 Inc,activo,,Información en medios masivos,"Procesamiento electrónico de información, hospedaje y otros servicios relacionados",Software y Datos
EGIO,"Edgio, Inc",activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
EGLE,Eagle Bulk Shipping Inc,activo,,"Transportes, correos y almacenamiento",Transporte marítimo,Transporte Servic
EGLT_old,Zyla Life Sciences,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EGL__old,Engility Hldg Inc,cancelado,,"Servicios profesionales, científicos y técnicos","Servicios de arquitectura, ingeniería y actividades relacionadas",Otros
EGN_old,Energen Corp,cancelado,,"Minería, explotación de canteras y extracción de petróleo y gas",Extracción de petróleo y gas,Petróleo y Gas
EGOV_old,Nic Inc,cancelado,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
EGP,"Eastgroup Properties, Inc",activo,,Servicios financieros y de seguros,Otros fondos,Fondos
EGRX,"Eagle Pharmaceuticals, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EGY,Vaalco Energy Inc,activo,,"Minería, explotación de canteras y extracción de petróleo y gas",Extracción de petróleo y gas,Petróleo y Gas
EHC,Encompass Health Corp,activo,,Servicios de salud y de asistencia social,Hospitales,Otros
EHTH,"Ehealth, Inc",activo,,Servicios financieros y de seguros,Servicios relacionados con los seguros y las fianzas,Finanzas y Seguros
EIDX_old,"Eidos Therapeutics, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EIG,Employers Hldg Inc,activo,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
EIGI_old,Endurance Intl Group Hldg Inc,cancelado,,Información en medios masivos,Edición de software,Software y Datos
EIGR,"Eiger Biopharmaceuticals, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EIX,Edison Intl,activo,.06,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
EL,Estee Lauder Companies Inc,activo,.08,Industrias manufactureras,"Fabricación de jabones, limpiadores y preparaciones de tocador",Química
ELA,Envela Corp,activo,,Comercio al por menor,"Tienda de joyas, equipajes y artículos de cuero",Comercio
ELAB,Elevai Labs Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ELAB_old,Eon Labs Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ELAN,Elanco Animal Health Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ELBO_old,Electronics Boutique Hldg Corp,cancelado,,Comercio al por menor,Tienda de equipos electrónicos,Comercio
ELDN,"Eledon Pharmaceuticals, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ELEC_old,Electrum Special Acquisition Corp,cancelado,,Corporativos,Corporativos,Otros
ELEV,"Elevation Oncology, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ELF,"E.L.F. Beauty, Inc",activo,,Industrias manufactureras,"Fabricación de jabones, limpiadores y preparaciones de tocador",Química
ELGX_old,Endologix Inc,cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
ELLI_old,Ellie Mae Inc,cancelado,,Información en medios masivos,Edición de software,Software y Datos
ELMD,"Electromed, Inc",activo,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
ELME,Elme Communities,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
ELNK_old,Earthlink Hldg Corp,cancelado,,"Servicios profesionales, científicos y técnicos","Servicios profesionales, científicos y técnicos",Otros
ELON_old,Echelon Corp,cancelado,,Industrias manufactureras,Fabricación de equipo de comunicación,Electroelectronic
ELRC_old,Electro Rent Corp,cancelado,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Alquiler de artículos para el hogar y personales,Otros
ELS,"Equity Lifestyle Properties, Inc",activo,,Servicios financieros y de seguros,Otros fondos,Fondos
ELSE,Electro Sensors Inc,activo,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
ELTX,"Elicio Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ELUT,Elutia Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ELV,"Elevance Health, Inc",activo,.28,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
ELVT_old,"Elevate Credit, Inc",cancelado,,Servicios financieros y de seguros,Servicios financieros y de seguros,Finanzas y Seguros
ELX_old,Emulex Corp,cancelado,,Industrias manufactureras,Fabricación de equipo de comunicación,Electroelectronic
ELYM,"Eliem Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EMAN_old,Emagin Corp,cancelado,,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
EMBC,Embecta Corp,activo,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
EMCF_old,Emclaire Financial Corp,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
EMCG_old,Embrace Change Acquisition Corp,cancelado,,Industrias manufactureras,Otras industrias manufactureras,Otros
EMCI_old,EMC Insurance Group Inc,cancelado,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
EMC_old,EMC Corp,cancelado,,Industrias manufactureras,Fabricación de computadoras y equipo periférico,Electroelectronic
EMD,Western Asset Emerging Markets Debt Fund Inc,activo,,Industrias manufactureras,Otras industrias manufactureras,Otros
EME,"Emcor Group, Inc",activo,,Construcción,Instalaciones y equipamiento en construcciones,Construcción
EMG_old,"Emergent Capital, Inc",cancelado,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
EMKR,Emcore Corp,activo,,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
EML,The Eastern Company,activo,,Industrias manufactureras,Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,Siderur & Metalur
EMMS_old,Emmis Comm Corp,cancelado,,Información en medios masivos,Transmisión de programas de radio y televisión,Otros
EMN,Eastman Chemical Co,activo,.02,Industrias manufactureras,"Fabricación de resinas y hules sintéticos, y fibras químicas",Química
EMR,Emerson Electric Co.,activo,.14,Industrias manufactureras,Fabricación de otros equipos y accesorios eléctricos,Electroelectronic
EMS_old,Envision Healthcare Corp,cancelado,,Servicios de salud y de asistencia social,Hospitales generales,Otros
EM_old,Change Healthcare Hldg Inc,cancelado,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
ENE_old,Enron Corp,cancelado,,Servicios financieros y de seguros,"Casas de bolsa, casas de cambio y centros cambiarios",Finanzas y Seguros
ENFC_old,Entegra Financial Corp,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ENFN,"Enfusion, Inc",activo,,Información en medios masivos,Edición de software,Software y Datos
ENG,Englobal Corp,activo,,"Servicios profesionales, científicos y técnicos","Servicios de arquitectura, ingeniería y actividades relacionadas",Otros
ENOC_old,Enernoc Inc,cancelado,,"Servicios profesionales, científicos y técnicos","Servicios profesionales, científicos y técnicos",Otros
ENOV,Enovis Corp,activo,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
ENPH,"Enphase Energy, Inc",activo,.04,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
ENR,Energizer Hldg Inc,activo,,Industrias manufactureras,Fabricación de otros equipos y accesorios eléctricos,Electroelectronic
ENS,Enersys,activo,,Industrias manufactureras,Fabricación de otros equipos y accesorios eléctricos,Electroelectronic
ENSG,"Ensign Group, Inc",activo,,Servicios de salud y de asistencia social,"Residencias con cuidados de enfermeras para enfermos convalecientes en rehabilitación, incurables y terminales",Otros
ENSV,Enservco Corp,activo,,"Minería, explotación de canteras y extracción de petróleo y gas",Servicios relacionados con la minería,Minería
ENTA,Enanta Pharmaceuticals Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ENTG,Entegris Inc,activo,,Industrias manufactureras,Fabricación de productos de plástico,Otros
ENTL_old,Entellus Medical Inc,cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
ENT_old,Global Eagle Entertainment Inc,cancelado,,Información en medios masivos,Otros servicios de telecomunicaciones,Telecomunicación
ENV,"Envestnet, Inc",activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
ENVA,"Enova Intl, Inc",activo,,Servicios financieros y de seguros,Instituciones financieras de fomento económico,Finanzas y Seguros
ENVB,"Enveric Biosciences, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ENVX,Enovix Corp,activo,,Industrias manufactureras,Fabricación de otros equipos y accesorios eléctricos,Electroelectronic
ENZ,"Enzo Biochem, Inc",activo,,Servicios de salud y de asistencia social,Laboratorios médicos y de diagnóstico,Otros
ENZN_old,"Enzon Pharmaceuticals, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EOG,EOG Resources Inc,activo,.16,"Minería, explotación de canteras y extracción de petróleo y gas",Extracción de petróleo y gas,Petróleo y Gas
EOLS,"Evolus, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EOP_old,Equity Office Properties Trust,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
EPAC,Enerpac Tool Group Corp,activo,,Industrias manufactureras,Fabricación de maquinaria y equipo para el comercio y los servicios,Maquinaria Indust
EPAM,"Epam Systems, Inc",activo,.04,"Servicios profesionales, científicos y técnicos",Servicios de diseño de sistemas de cómputo y servicios relacionados,Software y Datos
EPAY,"Bottomline Technologies, Inc",activo,,Información en medios masivos,Edición de software,Software y Datos
EPC,Edgewell Personal Care Company,activo,,Industrias manufactureras,"Fabricación de jabones, limpiadores y preparaciones de tocador",Química
EPE___old,Ep Energy Corp,cancelado,,"Minería, explotación de canteras y extracción de petróleo y gas",Extracción de petróleo y gas,Petróleo y Gas
EPIQ_old,Epiq Systems Inc,cancelado,,"Servicios profesionales, científicos y técnicos",Servicios de diseño de sistemas de cómputo y servicios relacionados,Software y Datos
EPM,Evolution Petroleum Corp,activo,,"Minería, explotación de canteras y extracción de petróleo y gas",Extracción de petróleo y gas,Petróleo y Gas
EPR,EPR Properties,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
EPRS_old,"Epirus Biopharmaceuticals, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EPRT,"Essential Properties Realty Trust, Inc",activo,,Servicios financieros y de seguros,Otros fondos,Fondos
