empresa,Nombre,status,partind,naics1,naics2,SectorEconomatica
GYMB_old,Gymboree Corp,cancelado,,Industrias manufactureras,Fabricación de prendas de vestir,Textil
GYRE,"Gyre Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
GYRO,"Gyrodyne, Llc",activo,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Alquiler sin intermediación de bienes raíces,Otros
GZT_old,Gazit-Globe Ltd,cancelado,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Servicios inmobiliarios,Otros
G_old,Gillette Co,cancelado,,Industrias manufactureras,Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,Siderur & Metalur
H,Hyatt Hotels Corp,activo,,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,"Hoteles, moteles y similares",Otros
HA,Hawaiian Hldg Inc,activo,,"Transportes, correos y almacenamiento",Transporte aéreo regular,Transporte Servic
HABT_old,"Habit Restaurants, Inc",cancelado,,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,Restaurante y otros lugares para comer,Otros
HAE,Haemonetics Corp,activo,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
HAFC,Hanmi Financial Corp,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HAIN,"The Hain Celestial Group, Inc",activo,,Industrias manufactureras,Industria alimentaria,Alimentos y Beb
HAL,Halliburton Company,activo,.07,"Minería, explotación de canteras y extracción de petróleo y gas",Servicios relacionados con la minería,Minería
HALL_old,"Hallmark Financial Services, Inc",cancelado,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
HALO,"Halozyme Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HARP,"Harpoon Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HAR_old,Harman Intl Industries Inc,cancelado,,Industrias manufactureras,Fabricación de equipo de audio y de video,Electroelectronic
HAS,"Hasbro, Inc",activo,.01,Industrias manufactureras,Otras industrias manufactureras,Otros
HASI,"Ha Sustainable Infrastructure Capital, Inc",activo,,Servicios financieros y de seguros,Otros fondos,Fondos
HAWK_old,Blackhawk Network Hldg Inc,cancelado,,Servicios financieros y de seguros,Servicios financieros y de seguros,Finanzas y Seguros
HAYN,"Haynes Intl, Inc",activo,,Industrias manufactureras,Industria básica del hierro y del acero,Siderur & Metalur
HAYW,Hayward Hldg Inc,activo,,Industrias manufactureras,"Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",Maquinaria Indust
HBAN,Huntington Bancshares Inc,activo,.04,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HBCP,"Home Bancorp, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HBI,Hanesbrands Inc,activo,,Comercio al por menor,Tienda de ropas y accesorios de vestir,Comercio
HBIO,"Harvard Bioscience, Inc",activo,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
HBK_old,"Hamilton Bancorp, Inc",cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HBMD,Howard Bancorp Inc,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HBNC,"Horizon Bancorp, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HBP,"Huttig Building Products, Inc",activo,,Comercio al por mayor,Comercio al por mayor de madera y materiales de construcción,Comercio
HBT,"Hbt Financial, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HCA,"HCA Healthcare, Inc",activo,.14,Servicios de salud y de asistencia social,Hospitales generales,Otros
HCAT,"Health Catalyst, Inc",activo,,"Servicios profesionales, científicos y técnicos","Servicios profesionales, científicos y técnicos",Otros
HCBK_old,Hudson City Bancorp Inc,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HCC,"Warrior Met Coal, Inc",activo,,"Minería, explotación de canteras y extracción de petróleo y gas",Minería de carbón,Minería
HCCI_old,"Heritage-Crystal Clean, Inc",cancelado,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Manejo de residuos y desechos, y servicios de remediación",Otros
HCC_old,HCC Insurance Hldg Inc,cancelado,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
HCDI_old,"Harbor Custom Development, Inc",cancelado,,Construcción,Edificación residencial,Construcción
HCI,"Hci Group, Inc",activo,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
HCKT,"Hackett Group, Inc",activo,,"Servicios profesionales, científicos y técnicos","Servicios de consultoría administrativa, científica y técnica",Otros
HCOM_old,"Hawaiian Telcom Holdco, Inc",cancelado,,Información en medios masivos,Otros servicios de telecomunicaciones,Telecomunicación
HCP,"Hashicorp, Inc",activo,,"Servicios profesionales, científicos y técnicos",Servicios de diseño de sistemas de cómputo y servicios relacionados,Software y Datos
HCR_old,Manor Care Inc,cancelado,,Servicios de salud y de asistencia social,"Residencias con cuidados de enfermeras para enfermos convalecientes en rehabilitación, incurables y terminales",Otros
HCSG,"Healthcare Services Group, Inc",activo,,Servicios de salud y de asistencia social,Residencias de asistencia social y para el cuidado de la salud,Otros
HCTI,"Healthcare Triangle, Inc",activo,,"Servicios profesionales, científicos y técnicos",Servicios de diseño de sistemas de cómputo y servicios relacionados,Software y Datos
HCWB,Hcw Biologics Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HD,"Home Depot, Inc",activo,.87,Comercio al por menor,Tienda de materiales de construcción,Comercio
HDNG_old,Hardinge Inc,cancelado,,Industrias manufactureras,Fabricación de maquinaria y equipo para la industria metalmecánica,Maquinaria Indust
HDP__old,Hortonworks Inc,cancelado,,Información en medios masivos,Edición de software,Software y Datos
HDSN,Hudson Technologies Inc,activo,,Comercio al por mayor,"Comercio al por mayor de máquinas, equipos y  accesorios",Comercio
HDS_old,Hd Supply Hldg Inc,cancelado,,Comercio al por mayor,Comercio al por mayor de mercancias durables,Comercio
HE,Hawaiian Electric Industries Inc,activo,,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
HEAR,Turtle Beach Corp,activo,,Industrias manufactureras,Fabricación de equipo de comunicación,Electroelectronic
HEES,"H&E Equipment Services, Inc",activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
HEI,Heico Corp,activo,,Industrias manufactureras,Fabricación de equipo aeroespacial,Vehículos y Pieza
HEOP_old,Heritage Oaks Bancorp,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HEPA,"Hepion Pharmaceuticals, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HEP_old,Holly Energy Partners Lp,cancelado,,"Transportes, correos y almacenamiento",Transporte por ductos,Otros
HERO_old,"Hercules Offshore, Inc",cancelado,,"Minería, explotación de canteras y extracción de petróleo y gas",Servicios relacionados con la minería,Minería
HES,Hess Corp,activo,.1,Industrias manufactureras,Fabricación de productos derivados del petróleo y del carbón,Petróleo y Gas
HEW_old,Hewitt Associates Inc,cancelado,,"Servicios profesionales, científicos y técnicos","Servicios de consultoría administrativa, científica y técnica",Otros
HFBC_old,Hopfed Bancorp Inc,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HFBL,"Home Federal Bancorp, Inc Of Louisiana",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HFC_old,Hollyfrontier Corp,cancelado,,Industrias manufactureras,Fabricación de productos derivados del petróleo y del carbón,Petróleo y Gas
HFFC_old,Hf Financial Corp,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HFWA,Heritage Financial Corp,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HF_old,"Hff, Inc",cancelado,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Alquiler sin intermediación de bienes raíces,Otros
HGG_old,"Hhgregg, Inc",cancelado,,Comercio al por menor,"Tienda de repuestos, accesorios y llantas",Comercio
HGSI_old,Human Genome Sciences Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HGT_old,Hugoton Royalty Trust,cancelado,,Servicios financieros y de seguros,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
HGV,Hilton Grand Vacations Inc,activo,,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,Servicios de alojamiento temporal,Otros
HHC_old,The Howard Hughes Corp,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
HHH,Howard Hughes Hldg Inc,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
HHS_old,"Harte Hanks, Inc",cancelado,,Información en medios masivos,"Edición de periódicos, revistas, libros y similares",Otros
HH_old,Hooper Holmes Inc,cancelado,,Servicios de salud y de asistencia social,Servicios de salud y de asistencia social,Otros
HI,"Hillenbrand, Inc",activo,,Industrias manufactureras,Otras industrias manufactureras,Otros
HIBB,"Hibbett, Inc",activo,,Comercio al por menor,Otros tipos de tienda,Comercio
HIB_old,Hibernia Corp,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HIFR_old,"Infrareit, Inc",cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
HIG,"The Hartford Financial Services Group, Inc",activo,.07,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
HII,"Huntington Ingalls Industries, Inc",activo,.03,Industrias manufactureras,Fabricación de embarcaciones,Vehículos y Pieza
HIL_old,"Hill Intl, Inc",cancelado,,"Servicios profesionales, científicos y técnicos","Servicios de arquitectura, ingeniería y actividades relacionadas",Otros
HIMS,"Hims & Hers Health, Inc",activo,,Servicios de salud y de asistencia social,Consultorios médicos,Otros
HIVE_old,"Aerohive Networks, Inc",cancelado,,"Servicios profesionales, científicos y técnicos",Servicios de diseño de sistemas de cómputo y servicios relacionados,Software y Datos
HIW,"Highwoods Properties, Inc",activo,,Servicios financieros y de seguros,Otros fondos,Fondos
HI_old,Hsbc Finance Corp,cancelado,,Servicios financieros y de seguros,Instituciones financieras de fomento económico,Finanzas y Seguros
HK_old,Petrohawk Energy Corp,cancelado,,"Minería, explotación de canteras y extracción de petróleo y gas",Extracción de petróleo y gas,Petróleo y Gas
HL,Hecla Mining Co,activo,,"Minería, explotación de canteras y extracción de petróleo y gas",Minería de minerales no metálicos,Minería
HLI,"Houlihan Lokey, Inc",activo,,Servicios financieros y de seguros,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
HLIO,"Helios Technologies, Inc",activo,,Industrias manufactureras,Fabricación de otros productos metálicos,Siderur & Metalur
HLIT,Harmonic Inc,activo,,Industrias manufactureras,Fabricación de equipo de comunicación,Electroelectronic
HLMN,Hillman Solutions Corp,activo,,Industrias manufactureras,Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,Siderur & Metalur
HLNE,Hamilton Lane Inc,activo,,Servicios financieros y de seguros,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
HLT,Hilton Worldwide Hldg Inc,activo,.12,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,"Hoteles, moteles y similares",Otros
HLTH__old,Cue Health Inc,cancelado,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
HLTH_old,HLTH Corp,cancelado,,Información en medios masivos,"Procesamiento electrónico de información, hospedaje y otros servicios relacionados",Software y Datos
HLT_old,Hilton Hotels Corp,cancelado,,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,"Hoteles, moteles y similares",Otros
HLVX,"Hillevax, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HLX,"Helix Energy Solutions Group, Inc",activo,,"Minería, explotación de canteras y extracción de petróleo y gas",Servicios relacionados con la minería,Minería
HLYW_old,Hollywood Entertainment Corp,cancelado,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Alquiler de artículos para el hogar y personales,Otros
HMA_old,"Health Mngmt Associates, Inc",cancelado,,Servicios de salud y de asistencia social,Hospitales generales,Otros
HME_old,Home Properties Inc,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
HMG_old,Hmg Courtland Properties Inc,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
HMHC,Houghton Mifflin Harcourt Co,activo,,Información en medios masivos,"Edición de periódicos, revistas, libros y similares",Otros
HMN,Horace Mann Educators Corp,activo,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
HMNF,Hmn Financial Inc,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HMNY_old,Helios & Matheson Analytics Inc,cancelado,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
HMPT_old,Home Point Capital Inc,cancelado,,Servicios financieros y de seguros,Instituciones financieras de fomento económico,Finanzas y Seguros
HMST,"Homestreet, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HMSY_old,Hms Hldg Corp,cancelado,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
HMTV_old,"Hemisphere Media Group, Inc",cancelado,,Información en medios masivos,Producción de programación de canales para sistemas de televisión por cable o satelitales,Otros
HM_old,Homestake Mining Co,cancelado,,"Minería, explotación de canteras y extracción de petróleo y gas",Minería de minerales metálicos,Minería
HNH_old,Handy & Harman Ltd.,cancelado,,Industrias manufactureras,Recubrimientos y terminados metálicos,Siderur & Metalur
HNI,HNI Corp,activo,,Industrias manufactureras,Fabricación de muebles de oficina y estantería,Otros
HNNA,Hennessy Advisors Inc,activo,,Servicios financieros y de seguros,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
HNRG,Hallador Energy Co,activo,,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
HNR_old,"Harvest Natural Resources, Inc",cancelado,,"Minería, explotación de canteras y extracción de petróleo y gas",Extracción de petróleo y gas,Petróleo y Gas
HNSN_old,Hansen Medical Inc,cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
HNST,"The Honest Company, Inc",activo,,Comercio al por menor,Ventas por correo o medio electrónico,Comercio
HNT_old,Health Net Inc,cancelado,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
HNVR,"Hanover Bancorp, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HNZ_old,Heinz H J Co,cancelado,,Industrias manufactureras,"Conservación de frutas, verduras, guisos y otros alimentos preparados",Alimentos y Beb
HOFT,Hooker Furnishings Corp,activo,,Industrias manufactureras,"Fabricación de muebles, excepto de oficina y estantería",Otros
HOG,"Harley-Davidson, Inc",activo,,Industrias manufactureras,Fabricación de otro equipo de transporte,Vehículos y Pieza
HOLX,"Hologic, Inc",activo,.04,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
HOMB,"Home Bancshares, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HON,Honeywell Intl Inc,activo,.31,Industrias manufactureras,Fabricación de equipo aeroespacial,Vehículos y Pieza
HOOD,"Robinhood Markets, Inc",activo,,Servicios financieros y de seguros,"Casas de bolsa, casas de cambio y centros cambiarios",Finanzas y Seguros
HOOK,HOOKIPA Pharma Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HOPE,"Hope Bancorp, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HOS_old,Hornbeck Offshore Services Inc,cancelado,,"Transportes, correos y almacenamiento",Transporte por agua,Transporte Servic
HOTH,"Hoth Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HOTT_old,Hot Topic Inc,cancelado,,Comercio al por menor,Tienda de ropas y accesorios de vestir,Comercio
HOT_old,"Starwood Hotel & Resorts Worldwide, Inc",cancelado,,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,"Hoteles, moteles y similares",Otros
HOUR,"Hour Loop, Inc",activo,,Comercio al por menor,Ventas por correo o medio electrónico,Comercio
HOUS,Anywhere Real Estate Inc,activo,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Alquiler sin intermediación de bienes raíces,Otros
HOV,Hovnanian Enterprises Inc,activo,,Construcción,Edificación residencial,Construcción
HOWL,"Werewolf Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HP,"Helmerich & Payne, Inc",activo,,"Minería, explotación de canteras y extracción de petróleo y gas",Servicios relacionados con la minería,Minería
HPCO,"Hempacco Co., Inc",activo,,Industrias manufactureras,Industria del tabaco,Otros
HPC_old,Hercules Inc,cancelado,,Industrias manufactureras,Fabricación de otros productos químicos,Química
HPE,Hewlett Packard Enterprise Company,activo,.05,Industrias manufactureras,Fabricación de computadoras y equipo periférico,Electroelectronic
HPP,"Hudson Pacific Properties, Inc",activo,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Servicios inmobiliarios,Otros
HPQ,Hp Inc,activo,.06,Industrias manufactureras,Fabricación de computadoras y equipo periférico,Electroelectronic
HQH,Tekla Healthcare Investors,activo,,Industrias manufactureras,Otras industrias manufactureras,Otros
HQY,"Healthequity, Inc",activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
HR,Healthcare Realty Trust Inc,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
HRB,"H&R Block, Inc",activo,,Otros servicios excepto actividades gubernamentales,Servicios personales,Otros
HRC_old,Hill-Rom Hldg Inc,cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
HRG_old,Spectrum Brands Hldg Inc,cancelado,,Industrias manufactureras,Fabricación de otros equipos y accesorios eléctricos,Electroelectronic
HRI,Herc Hldg Inc,activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
HRL,Hormel Foods Corp,activo,.02,Industrias manufactureras,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",Alimentos y Beb
HRMY,Harmony Biosciences Hldg Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HROW,"Harrow, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HRT,Hireright Hldg Corp,activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
HRTG,Heritage Insurance Hldg Inc,activo,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
HRTX,"Heron Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HSH_old,Hillshire Brands Co,cancelado,,Industrias manufactureras,Industria alimentaria,Alimentos y Beb
HSIC,"Henry Schein, Inc",activo,.02,Comercio al por mayor,Comercio al por mayor de equipos profesionales y comerciales,Comercio
HSII,"Heidrick & Struggles Intl, Inc",activo,,"Servicios profesionales, científicos y técnicos","Servicios de consultoría administrativa, científica y técnica",Otros
HSKA_old,Heska Corp,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HSNI_old,"Hsn, Inc",cancelado,,Comercio al por menor,Otros tipos de tienda,Comercio
HSON,"Hudson Global, Inc",activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",Servicios de empleo,Otros
HSP__old,Hospira Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HSP_old,Hispanic Broadcasting Corp,cancelado,,Información en medios masivos,Transmisión de programas de radio y televisión,Otros
HST,"Host Hotels & Resorts, Inc",activo,.03,Servicios financieros y de seguros,Otros fondos,Fondos
HSTM,Healthstream Inc,activo,,"Servicios profesionales, científicos y técnicos","Servicios profesionales, científicos y técnicos",Otros
HSTO_old,Histogen Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HSY,Hershey Co,activo,.07,Industrias manufactureras,"Elaboración de azúcares, chocolates, dulces y similares",Alimentos y Beb
HTA,Healthcare Realty Trust Inc,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
HTBI,"Hometrust Bancshares, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HTBK,Heritage Commerce Corp,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HTBX,Scorpius Hldg Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
HTCH_old,Hutchinson Technology Inc,cancelado,,Industrias manufactureras,Fabricación de equipo de comunicación,Electroelectronic
HTGC,"Hercules Capital, Inc",activo,,Industrias manufactureras,Otras industrias manufactureras,Otros
HTGM_old,"Htg Molecular Diagnostics, Inc",cancelado,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
HTH,Hilltop Hldg Inc,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HTLD,Heartland Express Inc,activo,,"Transportes, correos y almacenamiento",Autotransporte de carga general,Transporte Servic
HTLF,"Heartland Financial USA, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HTM_old,US Geothermal Inc,cancelado,,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
HTS_old,Hatteras Financial Corp,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
HTV_old,Hearst Argyle Television Inc,cancelado,,Información en medios masivos,Transmisión de programas de radio y televisión,Otros
HTWR_old,"Heartware Intl, Inc",cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
HTZ,Hertz Global Hldg Inc,activo,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,"Alquiler de automóviles, camiones y otros transportes terrestres",Otros
HT_old,Hersha Hospitality Trust,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
HUBB,Hubbell Inc,activo,.05,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
HUBG,"Hub Group, Inc",activo,,"Transportes, correos y almacenamiento",Servicios de intermediación para el transporte de carga,Transporte Servic
HUBS,Hubspot Inc,activo,,Información en medios masivos,Edición de software,Software y Datos
HUD_old,Hudson Ltd.,cancelado,,Comercio al por menor,Otras tiendas de mercancias diversas,Comercio
HUM,Humana Inc,activo,.11,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
HUN,Huntsman Corp,activo,,Industrias manufactureras,Industria química,Química
HURC,"Hurco Companies, Inc",activo,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
HURN,Huron Consulting Group Inc,activo,,"Servicios profesionales, científicos y técnicos","Servicios de consultoría administrativa, científica y técnica",Otros
HUSA,Houston American Energy Corp,activo,,"Minería, explotación de canteras y extracción de petróleo y gas",Extracción de petróleo y gas,Petróleo y Gas
HU_old,Hudson United Bancorp,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HVT,"Haverty Furniture Companies, Inc",activo,,Industrias manufactureras,"Fabricación de muebles, excepto de oficina y estantería",Otros
HWBK,"Hawthorn Bancshares, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HWC,Hancock Whitney Corp,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
HWCC_old,Houston Wire & Cable Co,cancelado,,Comercio al por mayor,Comercio al por mayor de articulos electricos,Comercio
HWKN,"Hawkins, Inc",activo,,Comercio al por mayor,Comercio al por mayor de productos químicos,Comercio
HWM,Howmet Aerospace Inc,activo,.06,Industrias manufactureras,Industrias metálicas básicas,Siderur & Metalur
HW_old,Headwaters Inc,cancelado,,Industrias manufactureras,Fabricación de cemento y productos de concreto,Minerales no Met
HXL,Hexcel Corp,activo,,Industrias manufactureras,"Fabricación de resinas y hules sintéticos, y fibras químicas",Química
HY,"Hyster-Yale, Inc",activo,,Industrias manufactureras,"Fabricación de calderas, tanques y envases metálicos",Siderur & Metalur
HYFM,"Hydrofarm Hldg Group, Inc",activo,,Comercio al por mayor,Comercio al por mayor de bienes no durables diversos,Comercio
HYRE_old,Hyrecar Inc,cancelado,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,"Alquiler de automóviles, camiones y otros transportes terrestres",Otros
HYSL_old,Hyperion Solutions Corp,cancelado,,Información en medios masivos,Edición de software,Software y Datos
HZN_old,Horizon Global Corp,cancelado,,Industrias manufactureras,Fabricación de carrocerías y remolques,Vehículos y Pieza
HZO,Marinemax Inc,activo,,Comercio al por menor,"Tienda de repuestos, accesorios y llantas",Comercio
H_old,Realogy,cancelado,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Inmobiliarias y corredores de bienes raíces,Otros
IAA_old,"Iaa, Inc",cancelado,,Comercio al por menor,Comercio al por menor,Comercio
IAC,IAC Inc,activo,,"Servicios profesionales, científicos y técnicos","Servicios profesionales, científicos y técnicos",Otros
IART,Integra Lifesciences Hldg Corp,activo,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
IAR_old,Supermedia Inc,cancelado,,"Servicios profesionales, científicos y técnicos","Servicios de publicidad, relaciones públicas y actividades relacionadas",Otros
IAS,Integral Ad Science Holding Corp,activo,,"Servicios profesionales, científicos y técnicos","Servicios profesionales, científicos y técnicos",Otros
IBCP,Independent Bank Corp,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
IBEX,Ibex Limited,activo,,Información en medios masivos,"Procesamiento electrónico de información, hospedaje y otros servicios relacionados",Software y Datos
IBIO,"Ibio, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
IBKC_old,Iberiabank Corp,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
IBKR,"Interactive Brokers Group, Inc",activo,,Servicios financieros y de seguros,"Casas de bolsa, casas de cambio y centros cambiarios",Finanzas y Seguros
IBM,Intl Business Machines Corp,activo,.39,Industrias manufactureras,Fabricación de computadoras y equipo periférico,Electroelectronic
IBOC,Intl Bancshares Corp,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
IBP,"Installed Building Products, Inc",activo,,Construcción,Edificación residencial,Construcción
IBRX,"Immunitybio, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
IBTX,"Independent Bank Group, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ICAD,Icad Inc,activo,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
ICBC_old,Independence Community Bank Corp,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ICBK_old,"County Bancorp, Inc",cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ICCC,Immucell Corp,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ICD,"Independence Contract Drilling, Inc",activo,,"Minería, explotación de canteras y extracción de petróleo y gas",Servicios relacionados con la minería,Minería
ICE,"Intercontinental Exchange, Inc",activo,.19,Servicios financieros y de seguros,"Casas de bolsa, casas de cambio y centros cambiarios",Finanzas y Seguros
ICFI,"Icf Intl, Inc",activo,,"Servicios profesionales, científicos y técnicos","Servicios de consultoría administrativa, científica y técnica",Otros
